PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY
AK-I-15000,ROGER ROM WINE IMPORTS LLC, ,7721 PORT ORFORD DR,ANCHORAGE,AK,99507,6019,ANCHORAGE
AK-I-15002,VERN KINGSFORD,AFRICAN SKY IMPORTS,31702 DEPOT RD,MOOSE PASS,AK,99631,0,KENAI PENINSULA
AK-I-15003,THE ODOM CORPORATION, ,1200 WELL ST,FAIRBANKS,AK,99701,2835,FAIRBANKS NORTH STAR
AK-I-15004,"ANZILOTTI'S TUSCAN MARKET, INC.",ANZILOTTI'S TUSCAN MARKET & DISTRIBUTORSHIP,750 W DIMOND BLVD,ANCHORAGE,AK,99515,1515,ANCHORAGE
AK-I-15005,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,3101 PEGER RD,FAIRBANKS,AK,99709,5454,FAIRBANKS NORTH STAR
AK-I-15006,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,1800 SHIP AVE,ANCHORAGE,AK,99501,1809,ANCHORAGE
AK-I-15007,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,5452 SHAUNE DR,JUNEAU,AK,99801,9539,JUNEAU
AK-I-15008,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,1200 WELL ST,FAIRBANKS,AK,99701,2835,FAIRBANKS NORTH STAR
AK-I-15009,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,5152 TOM STILES RD,KODIAK,AK,99615,6718,KODIAK ISLAND
AK-I-15010,ALASKA TEAM IMPORTS, ,814 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503,3779,ANCHORAGE
AK-I-21001,DAGGETT L.L.C.,OPEN WINE DISTRIBUTORS,51235  KENAI SPUR HWY,KENAI,AK,99611,0,Kenai Peninsula
AK-I-781,THE ODOM CORPORATION,ODOM COMPANY DIVISION,3101 PEGER RD,FAIRBANKS,AK,99709,5454,FAIRBANKS NORTH STAR
AK-I-782,THE ODOM CORPORATION,ANCHORAGE COLD STORAGE DIVISION,1800 SHIP AVE,ANCHORAGE,AK,99501,1809,ANCHORAGE
AK-I-790,"SPECIALTY IMPORTS, INC.", ,4119 INGRA ST,ANCHORAGE,AK,99503,6117,ANCHORAGE
AK-I-800,LORA LEORA ENGSTROM,BERING SEA INTERNATIONAL,2015 HILLCREST CIR,ANCHORAGE,AK,99503,1740,ANCHORAGE
AK-I-805,THE ODOM CORPORATION,ODOM COMPANY DIVISION,5452 SHAUNE DR,JUNEAU,AK,99801,9539,JUNEAU
AK-I-806,THE ODOM CORPORATION,ANCHORAGE COLD STORAGE DIVISION,5152 TOM STILES RD,KODIAK,AK,99615,6718,KODIAK ISLAND
AK-I-809,"DAVID GREEN & SONS, INC. & SAGAYA CORP PTRS OF DAVID G. J.V.",AERO TRADING,4601 POSTMARK DR,ANCHORAGE,AK,99502,1201,ANCHORAGE
AK-I-810,"K & L BEVERAGE COMPANY, LLC",K & L BEVERAGE COMPANY,945 ELIZABETH ST,FAIRBANKS,AK,99709,5533,FAIRBANKS NORTH STAR
AK-I-811,"K & L BEVERAGE COMPANY, LLC",K & L BEVERAGE COMPANY,6307 ARCTIC SPUR RD,ANCHORAGE,AK,99518,1543,ANCHORAGE
AK-I-812,"K & L BEVERAGE COMPANY, LLC",K & L BEVERAGE COMPANY,1759 ANKA ST,JUNEAU,AK,99801,9504,JUNEAU
AK-I-813,JOSEF KOPECKY,J.K. GLOBAL ENTERPRISES,3601 C ST,ANCHORAGE,AK,99503,5952,ANCHORAGE
AK-I-814,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,6307 ARCTIC SPUR RD,ANCHORAGE,AK,99518,1543,ANCHORAGE
AK-I-815,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,8420 AIRPORT BLVD,JUNEAU,AK,99801,8064,JUNEAU
AK-I-816,"K & L DISTRIBUTORS, INC.",K & L DISTRIBUTORS,945 ELIZABETH ST,FAIRBANKS,AK,99709,5533,FAIRBANKS NORTH STAR
AK-I-819,TURNAGAIN VINES LLC,TURNAGAIN VINES,511 W 41ST AVE,ANCHORAGE,AK,99503,6643,ANCHORAGE
AK-I-820,MIREK KALABUS, ,3401 DAHL LN,FAIRBANKS,AK,99712,0,FAIRBANKS NORTH STAR
AL-I-15000,BLUESTONE BEVERAGE COMPANY LLC, ,153 B CAHABA VALLEY PARKWAY,PELHAM,AL,35124,1144,SHELBY
AL-I-15001,"ALTERNATIVE WINES, LLC", ,214 PATRICIA RD,MADISON,AL,35758,1417,MADISON
AL-I-15004,PASSPORT CAFE LLC,PASSPORT CAFE,336 OLD OAK COVE,CHELSEA,AL,35043,3052,SHELBY
AL-I-15005,INGENIUM WINES LLC,INGENIUM WINES,917 D WILLOWBROOK DR,HUNTSVILLE,AL,35802,3263,MADISON
AL-I-15007,"JAMES STEVENS INTERNATIONAL, LLC", ,108 PORCH LIGHT PL,MADISON,AL,35756,6423,LIMESTONE
AL-I-15008,"BROTHER'S REAL ESTATE HOLDINGS, LLC",JUST CAUSE IMPORTS,23048 HILL RD,SILVERHILL,AL,36576,4105,BALDWIN
AL-I-15009,"ATHENS IMPORTERS, LLC", ,1336 PANORAMA DR,BIRMINGHAM,AL,35216,3013,JEFFERSON
AL-I-15011,"SOUTHERN GLOBAL, INC.", ,8325 HIGHWAY 431 N,ALBERTVILLE,AL,35950,168,MARSHALL
AL-I-15012,VOLONTE WINES, ,13636 HWY 84,EVERGREEN,AL,36401,6408,CONECUH
AL-I-15013,"BROOKLEY INTERNATIONAL DISTRIBUTING, L.L.C.",BROOKLEY INTERNATIONAL WINES,23803 COUNTY ROAD 64,ROBERTSDALE,AL,36567,0,BALDWIN
AL-I-15014,"CHALICE IMPORTS, INC.", ,402 CELTIC DR,MADISON,AL,35758,2629,MADISON
AL-I-15017,"UNIQCO, INC.",MOA USA,3425  LOOKOUT DR,HUNTSVILLE,AL,35801,1020,MADISON
AL-I-15019,"JAY MILLS, INC.",JAYS,1716 BEAR FORK RD,EIGHT MILE,AL,36613,1104,MOBILE
AL-I-15026,"LA EL TORO, LLC",LA EL TORO WINES,302 HARTSIDE RD,OWENS CROSS ROADS,AL,35763,9594,MADISON
AL-I-15028,"HIGHER GROUND ENERGY SOLUTIONS, INC.",SAVASSI CACHACA USA,120 N COURT  ST,FLORENCE,AL,35630,4766,LAUDERDALE
AL-I-15029,AFISKA LLC,VINNE SKLEPY IMPORTERS,3077  LEEMAN FERRY RD SW,HUNTSVILLE,AL,35801,5614,MADISON
AL-I-15030,"OSM Importing, L.L.C.",OSM IMPORTING,169 DAUPHIN ST,MOBILE,AL,36602,3271,MOBILE
