PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY
AK-P-15000,ROGER ROM WINE IMPORTS LLC,Â ,7721 PORT ORFORD DR,ANCHORAGE,AK,99507,6019,ANCHORAGE
AK-P-15001,SAM'S WEST INC.,SAM'S CLUB #6601,8801 OLD SEWARD HWY,ANCHORAGE,AK,99515,2021,ANCHORAGE
AK-P-15002,SAM'S WEST INC.,SAM'S CLUB #6602,3651 PENLAND PKWY,ANCHORAGE,AK,99508,2034,ANCHORAGE
AK-P-15003,SAM'S WEST INC.,SAM'S CLUB #6603,48 COLLEGE RD,FAIRBANKS,AK,99701,1706,FAIRBANKS NORTH STAR
AK-P-15004,"CROFT VINEYARDS, LLC",CROFT VINEYARDS,738 H ST,ANCHORAGE,AK,99501,3417,ANCHORAGE
AK-P-15005,"NORTHERN SPIRITS DISTRIBUTORS, LLC",Â ,12-027 DEE LN,EAGLE RIVER,AK,99577,0,ANCHORAGE
AK-P-15006,THE ODOM CORPORATION,Â ,1200 WELL ST,FAIRBANKS,AK,99701,2835,FAIRBANKS NORTH STAR
AK-P-15007,"ANZILOTTI'S TUSCAN MARKET, INC.",ANZILOTTI'S TUSCAN MARKET & DISTRIBUTORSHIP,750 W DIMOND BLVD,ANCHORAGE,AK,99515,1515,ANCHORAGE
AK-P-15008,"WILD ABOUT WINE, LLC",STELLAR WINES,5630 SILVERADO WAY,ANCHORAGE,AK,99518,1653,ANCHORAGE
AK-P-15009,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,3101 PEGER RD,FAIRBANKS,AK,99709,5454,FAIRBANKS NORTH STAR
AK-P-15010,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,1800 SHIP AVE,ANCHORAGE,AK,99501,1809,ANCHORAGE
AK-P-15011,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,5452 SHAUNE DR,JUNEAU,AK,99801,9539,JUNEAU
AK-P-15012,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,1200 WELL ST,FAIRBANKS,AK,99701,2835,FAIRBANKS NORTH STAR
AK-P-15013,"SOUTHERN WINE & SPIRITS OF ALASKA, LLC",SOUTHERN WINE & SPIRITS OF ALASKA,5152 TOM STILES RD,KODIAK,AK,99615,6718,KODIAK ISLAND
AK-P-15014,"TRUE NORTH CELLARS, LLC",TRUE NORTH CELLARS,7902 ARLENE ST,ANCHORAGE,AK,99502,4528,ANCHORAGE
AK-P-15015,DAGGETT LIMITED LIABILITY CORPORATION,Â ,51075 SPUR HWY,NIKISKI,AK,99635,0,KENAI PENINSULA
AK-P-15016,ALASKA TEAM IMPORTS,Â ,1336 W 11TH AVE,ANCHORAGE,AK,99501,4247,ANCHORAGE
AK-P-15017,DAGGETT L.L.C.,OPEN WINE DISTRIBUTORS,,NIKISKI,AK,99635,0,KENAI PENINSULA
AK-P-15018,"JMC WINE, LLC",Â ,649 ETON BLVD,FAIRBANKS,AK,99709,6773,FAIRBANKS NORTH STAR
AK-P-20063,"BILL'S DISTRIBUTING, INC.",AVALANCHE SPIRITS,7820 SCHOON ST,ANCHORAGE,AK,99518,3040,Â 
AK-P-21001,VERITAS WINES LLC,VERITAS WINES,5901 ARCTIC BLVD,ANCHORAGE,AK,99518,0,Â 
AK-P-21002,TONI CROFT,CROFT WHOLESALE,2727  MCCOLLIE ST,ANCHORAGE,AK,99517,1221,Â 
AK-P-21003,VINO'S INCORPORATED,VINOS,4371  DARTMOUTH RD,FAIRBANKS,AK,99709,0,Fairbanks North Star Borough
AK-P-21004,COSTCO WHOLESALE CORPORATION,COSTCO WHOLESALE 107,5225  COMMERCIAL BLVD,JUNEAU,AK,99801,7210,JUNEAU
AK-P-21005,COSTCO WHOLESALE CORPORATION,COSTCO WHOLESALE 63,4125  DEBARR RD,ANCHORAGE,AK,99508,0,ANCHORAGE
AK-P-21006,COSTCO WHOLESALE CORPORATION,COSTCO WHOLESALE 10,330  W DIMOND BLVD,ANCHORAGE,AK,99515,1903,ANCHORAGE
AK-P-2869,CONSOLIDATED NON-APPROPRIATED WAREHOUSE FUND,Â ,APO 98733,FORT GREELEY,AK,98733,0,FAIRBANKS NORTH STAR
AK-P-2871,FT. RICHARDSON CENTRALIZED NONAPPROPRIATED WAREHOUSE FUND,Â ,BUILDING 724,FT RICHARDSON,AK,99505,0,SOUTHEAST FAIRBANKS
AK-P-2877,THE ODOM CORPORATION,ODOM COMPANY DIVISION,5452 SHAUNE DR,JUNEAU,AK,99801,9539,JUNEAU
AK-P-2879,THE ODOM CORPORATION,ODOM COMPANY DIVISION,3101 PEGER RD,FAIRBANKS,AK,99709,5454,FAIRBANKS NORTH STAR
AK-P-2880,THE ODOM CORPORATION,ANCHORAGE COLD STORAGE DIVISION,1800 SHIP AVE,ANCHORAGE,AK,99501,1809,ANCHORAGE
AK-P-2883,NON-APPROPRIATED FUND FINANCIAL MANAGEMENT BRANCH,Â ,CENTRAL NAF STOREROOM,EIELSON AFB,AK,99702,0,FAIRBANKS NORTH STAR
